date,time_ist,dir,ret_bps,attributed_cause,first_reporter,first_report_date,scoop_headline,classifier_path
2025-11-07,13:26,+,17.6,Cooler-than-expected US CPI (2.7%) lifted Fed rate-cut hopes,BLS / wire services,2025-11-07,"US CPI eases to 2.7%, lowest since July; rate cut bets rise",monetary_dovish (cpi_soft + rate cut bets)
2025-11-14,15:00,+,19.9,Falling crude + early US-Iran diplomatic optimism (pre-cursor to May event),Reuters / wire,2025-11-14,Crude tumbles on US-Iran diplomatic talks optimism,"geopolitical_deescalation (talks, hopes) + oil_crash"
2026-01-21,14:17,+,20.7,Trump backs Sen. Graham 'Sanctioning Russia Act' bill — proposes 500% tariff on India/China for buying Russian oil; intraday whipsaw on tariff-truce headlines,Sen. Lindsey Graham press statement (NSession) → Al Jazeera/Tribune/Business Standard,2026-01-08 (bill); 2026-01-21 (intraday volatility from tariff/trade-talks chatter),Trump backs bill to sanction India/China over Russian oil — 500% tariff,trade_escalation (tariff hike / trade war)
2026-01-27,09:38,+,24.2,Pre-Budget gap-up; specific catalyst not pinpointed in retro search,Domestic press (pre-Budget commentary),n/a,(no clear single scoop),(unlikely to classify — domestic positioning)
2026-01-30,14:47,+,17.7,Pre-Union-Budget caution / late-session squaring,Domestic press,n/a,(positioning move),(unlikely to classify)
2026-02-02,09:58,-,18.2,Hangover from Budget 2026 STT hike on F&O announced 1-Feb,"Finance Minister Sitharaman Budget speech (live, all wires simultaneous)",2026-02-01,Budget 2026 hikes STT on F&O trades,(domestic policy — not in current taxonomy)
2026-02-27,15:00,-,24.8,Anthropic launched Claude Cowork Agent — 'SaaSpocalypse'; Nifty IT -4%; compounded by F&O expiry + pre-GDP positioning,Anthropic press release / Fortune (initial Jan launch); FinancialContent / CNBC for Feb-24 enterprise update,2026-01-13 initial; 2026-02-24 enterprise; 2026-02-26 SaaSpocalypse coverage,Anthropic releases Claude Cowork — autonomous AI agent threatens SaaS,(NOT in taxonomy — corporate AI disruption)
2026-03-02,14:03,+,27.1,"Late-session bounce; mixed Iran-headlines + sector rotation. Top retro-headline was 'Stocks That Crashed' (post-hoc, not catalyst)",(no single clear scoop in retro search),n/a,(no clear single scoop),(would not classify cleanly)
2026-03-06,14:48,-,28.5,"Middle East / US-Iran tensions, Brent moving toward $100, FII outflows",Wire reports across week 9-13 March,n/a,Crude rises on Iran tensions; FII outflows surge,geopolitical_escalation + oil_spike + india_macro_negative (FII outflow)
2026-03-09,10:51,+,29.9,Reversal bounce mid-Iran-war week; specific micro-catalyst unclear,(no single clear scoop),n/a,(no clear single scoop),(would not classify cleanly)
2026-03-12,11:18,-,27.3,"Escalating Middle East tensions, India VIX +4% to 21",Reuters / Bloomberg wire (region escalation),2026-03-11/12,"Middle East escalation: airstrikes, oil supply fears intensify",geopolitical_escalation
2026-03-16,14:18,+,26.8,"Mixed Iran headlines, intraday short-cover bounce",(no single clear scoop),n/a,(no clear single scoop),(would not classify cleanly)
2026-03-17,14:16,-,17.9,Nifty IT -1% on global tech weakness + Mid-East risk-off,Multiple,n/a,Nifty IT extends losing streak; Middle East risk weighs,"(IT-specific, not in current taxonomy)"
